Expense ID: 1, User ID: 5, Category: 2, Amount: 3456.00, Date: 12052024  
Expense ID: 2, User ID: 12, Category: 1, Amount: 789.50, Date: 22032025  
Expense ID: 3, User ID: 34, Category: 0, Amount: 15432.75, Date: 15012024  
Expense ID: 4, User ID: 18, Category: 3, Amount: 981.00, Date: 03062024  
Expense ID: 5, User ID: 7, Category: 1, Amount: 321.00, Date: 17082023  
Expense ID: 6, User ID: 23, Category: 2, Amount: 12345.00, Date: 29072024  
Expense ID: 7, User ID: 9, Category: 0, Amount: 4321.25, Date: 11092024  
Expense ID: 8, User ID: 2, Category: 3, Amount: 678.00, Date: 26022024  
Expense ID: 9, User ID: 15, Category: 1, Amount: 210.90, Date: 05052023  
Expense ID: 10, User ID: 30, Category: 2, Amount: 8765.40, Date: 13112024  
Expense ID: 11, User ID: 6, Category: 0, Amount: 9999.99, Date: 18072023  
Expense ID: 12, User ID: 28, Category: 3, Amount: 432.50, Date: 30042025  
Expense ID: 13, User ID: 19, Category: 1, Amount: 2222.22, Date: 21092024  
Expense ID: 14, User ID: 11, Category: 2, Amount: 5555.55, Date: 14102023  
Expense ID: 15, User ID: 25, Category: 0, Amount: 777.77, Date: 17062024  
Expense ID: 16, User ID: 8, Category: 3, Amount: 4320.00, Date: 09082023  
Expense ID: 17, User ID: 31, Category: 1, Amount: 1010.10, Date: 01012024  
Expense ID: 18, User ID: 14, Category: 2, Amount: 8888.88, Date: 23072025  
Expense ID: 19, User ID: 22, Category: 0, Amount: 6543.21, Date: 12062023  
Expense ID: 20, User ID: 3, Category: 3, Amount: 1999.99, Date: 28122024  
Expense ID: 21, User ID: 20, Category: 1, Amount: 7777.77, Date: 15122023  
Expense ID: 22, User ID: 13, Category: 2, Amount: 5432.10, Date: 10112024  
Expense ID: 23, User ID: 10, Category: 0, Amount: 876.50, Date: 05032023  
Expense ID: 24, User ID: 4, Category: 3, Amount: 432.10, Date: 27092024  
Expense ID: 25, User ID: 29, Category: 1, Amount: 3210.00, Date: 14042025  
Expense ID: 26, User ID: 16, Category: 2, Amount: 1456.78, Date: 19082023  
Expense ID: 27, User ID: 35, Category: 0, Amount: 9876.54, Date: 03032024  
Expense ID: 28, User ID: 21, Category: 3, Amount: 1212.12, Date: 31012025  
Expense ID: 29, User ID: 27, Category: 1, Amount: 3333.33, Date: 20072023  
Expense ID: 30, User ID: 32, Category: 2, Amount: 4567.89, Date: 25052024  
Expense ID: 31, User ID: 24, Category: 0, Amount: 6789.01, Date: 07102023  
Expense ID: 32, User ID: 26, Category: 3, Amount: 777.00, Date: 11122024  
Expense ID: 33, User ID: 17, Category: 1, Amount: 8901.23, Date: 06042024  
Expense ID: 34, User ID: 1, Category: 2, Amount: 5432.99, Date: 28062023  
Expense ID: 35, User ID: 33, Category: 0, Amount: 8765.43, Date: 09022024  
Expense ID: 36, User ID: 36, Category: 3, Amount: 1111.11, Date: 22092025  
Expense ID: 37, User ID: 37, Category: 1, Amount: 2345.67, Date: 19072024  
Expense ID: 38, User ID: 38, Category: 2, Amount: 3456.78, Date: 31082023  
Expense ID: 39, User ID: 39, Category: 0, Amount: 4567.89, Date: 05052025  
Expense ID: 40, User ID: 40, Category: 3, Amount: 5678.90, Date: 23032024  
